tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2018-01-01,P. MUARA ANGKE,12,32,1370,7783
2018-01-02,P. MUARA ANGKE,15,14,841,2303
2018-01-03,P. MUARA ANGKE,13,6,1013,981
2018-01-04,P. MUARA ANGKE,7,10,811,1092
2018-01-05,P. MUARA ANGKE,12,13,1017,763
2018-01-06,P. MUARA ANGKE,18,7,2794,678
2018-01-07,P. MUARA ANGKE,9,13,872,2167
2018-01-08,P. MUARA ANGKE,5,6,278,376
2018-01-09,P. MUARA ANGKE,4,5,315,238
2018-01-10,P. MUARA ANGKE,5,6,301,245
2018-01-11,P. MUARA ANGKE,4,5,307,268
2018-01-12,P. MUARA ANGKE,6,11,622,442
2018-01-13,P. MUARA ANGKE,17,7,2156,365
2018-01-14,P. MUARA ANGKE,7,16,478,2017
2018-01-15,P. MUARA ANGKE,11,7,740,370
2018-01-16,P. MUARA ANGKE,7,8,621,531
2018-01-17,P. MUARA ANGKE,6,6,312,430
2018-01-18,P. MUARA ANGKE,7,7,472,376
2018-01-19,P. MUARA ANGKE,6,9,444,532
2018-01-20,P. MUARA ANGKE,15,5,1844,279
2018-01-21,P. MUARA ANGKE,6,12,450,1714
2018-01-22,P. MUARA ANGKE,10,4,544,265
2018-01-23,P. MUARA ANGKE,6,6,356,416
2018-01-24,P. MUARA ANGKE,6,4,319,406
2018-01-25,P. MUARA ANGKE,4,6,202,475
2018-01-26,P. MUARA ANGKE,7,10,491,322
2018-01-27,P. MUARA ANGKE,19,11,2531,393
2018-01-28,P. MUARA ANGKE,6,14,389,2170
2018-01-29,P. MUARA ANGKE,12,8,471,388
2018-01-30,P. MUARA ANGKE,9,8,254,250
2018-01-31,P. MUARA ANGKE,6,5,225,235
2018-01-01,MARINA/ANCOL,12,1,561,15
2018-01-02,MARINA/ANCOL,4,6,362,409
2018-01-03,MARINA/ANCOL,3,4,282,2890
2018-01-04,MARINA/ANCOL,3,4,256,294
2018-01-05,MARINA/ANCOL,6,6,479,265
2018-01-06,MARINA/ANCOL,3,6,573,493
2018-01-07,MARINA/ANCOL,5,6,463,701
2018-01-08,MARINA/ANCOL,4,4,275,174
2018-01-09,MARINA/ANCOL,3,3,205,258
2018-01-10,MARINA/ANCOL,3,4,3,214
2018-01-11,MARINA/ANCOL,1,1,3,3
2018-01-12,MARINA/ANCOL,2,3,11,26
2018-01-13,MARINA/ANCOL,1,1,9,11
2018-01-14,MARINA/ANCOL,8,4,1123,127
2018-01-15,MARINA/ANCOL,4,1,142,167
2018-01-16,MARINA/ANCOL,4,1,337,541
2018-01-17,MARINA/ANCOL,7,7,160,141
2018-01-18,MARINA/ANCOL,6,5,293,324
2018-01-19,MARINA/ANCOL,3,2,94,53
2018-01-20,MARINA/ANCOL,18,18,1259,640
2018-01-21,MARINA/ANCOL,14,14,343,656
2018-01-22,MARINA/ANCOL,7,7,187,155
2018-01-23,MARINA/ANCOL,3,3,150,162
2018-01-24,MARINA/ANCOL,11,11,292,328
2018-01-25,MARINA/ANCOL,2,2,127,112
2018-01-26,MARINA/ANCOL,2,2,109,125
2018-01-27,MARINA/ANCOL,18,17,981,593
2018-01-28,MARINA/ANCOL,16,16,271,768
2018-01-29,MARINA/ANCOL,6,6,271,277
2018-01-30,MARINA/ANCOL,10,10,223,207
2018-01-31,MARINA/ANCOL,2,2,142,140
2018-01-01,UNTUNG/JAWA,7,19,686,787
2018-01-02,UNTUNG/JAWA,5,7,222,208
2018-01-03,UNTUNG/JAWA,7,7,246,209
2018-01-04,UNTUNG/JAWA,8,8,365,343
2018-01-05,UNTUNG/JAWA,6,6,239,272
2018-01-06,UNTUNG/JAWA,9,8,183,415
2018-01-07,UNTUNG/JAWA,11,10,503,569
2018-01-08,UNTUNG/JAWA,12,13,476,618
2018-01-09,UNTUNG/JAWA,5,5,132,163
2018-01-10,UNTUNG/JAWA,7,6,105,122
2018-01-11,UNTUNG/JAWA,6,6,151,129
2018-01-12,UNTUNG/JAWA,6,6,178,128
2018-01-13,UNTUNG/JAWA,6,6,268,317
2018-01-14,UNTUNG/JAWA,6,8,427,386
2018-01-15,UNTUNG/JAWA,5,5,229,126
2018-01-16,UNTUNG/JAWA,6,6,114,101
2018-01-17,UNTUNG/JAWA,6,5,59,46
